latitude,longitude,region,season,elevation,slope_degrees,vegetation_index,water_index,urban_proximity,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_percent,river_level_m,distance_to_river_km,drainage_capacity,historical_flood_frequency,population_density,risk_level
27.1257,74.5867,North,Winter,116,11.44,0.746,0.236,13.0,2.6,8.0,21.0,18.6,2.21,5.54,0.282,0,516,Low
22.3077,82.4497,Central,Post-Monsoon,64,2.48,0.501,0.832,30.3,23.2,142.8,392.8,63.1,2.53,10.75,0.516,0,495,High
13.3645,77.2518,South,Pre-Monsoon,790,4.41,0.538,0.476,4.1,28.0,79.7,114.4,20.2,2.12,4.94,0.365,1,1903,Low
23.159,81.2048,Central,Monsoon,252,1.6,0.365,0.785,36.2,18.9,132.0,279.3,54.5,5.03,13.13,0.898,1,284,Moderate
24.3557,86.1087,East,Monsoon,175,0.92,0.22,0.99,22.0,129.7,414.3,742.5,86.6,5.68,2.11,0.366,3,614,Severe
25.1287,93.4629,Northeast,Monsoon,543,3.33,0.828,0.714,8.8,44.6,122.1,217.9,50.2,4.13,7.48,0.775,1,1181,Moderate
22.9892,76.3301,Central,Pre-Monsoon,5,4.23,0.39,0.176,23.0,7.2,40.7,72.1,29.8,1.82,9.75,0.685,3,1702,Moderate
25.5126,76.6052,Central,Post-Monsoon,543,3.8,0.916,0.516,16.6,17.8,82.6,190.3,49.7,3.29,0.76,0.38,5,647,High
23.4929,87.2843,East,Post-Monsoon,211,3.65,0.293,0.523,42.4,22.9,90.6,166.1,36.1,2.53,3.03,0.504,2,266,Moderate
23.2052,75.8742,West,Winter,472,4.4,0.78,0.285,12.8,2.5,8.9,14.6,18.3,2.04,2.94,0.095,4,1533,Moderate
27.049,75.8599,North,Monsoon,406,4.55,0.437,0.99,23.1,80.4,167.9,463.3,63.3,3.73,9.92,0.264,1,3047,High
27.8074,74.0454,North,Monsoon,201,2.55,0.625,0.776,7.8,28.1,127.9,343.2,53.9,3.98,1.22,0.391,3,233,Severe
8.7185,75.0578,South,Monsoon,674,2.8,0.86,0.99,21.7,124.3,285.3,545.8,77.0,3.63,9.67,0.951,2,1511,Moderate
25.7096,79.8508,Central,Pre-Monsoon,447,6.91,0.733,0.225,12.5,0.3,3.7,16.8,28.3,1.81,4.25,0.525,3,348,Low
27.593,93.6784,Northeast,Post-Monsoon,1291,9.18,0.277,0.383,34.8,10.2,45.0,134.7,47.6,2.95,9.5,0.46,3,303,Low
25.2318,88.2888,East,Post-Monsoon,76,1.81,0.61,0.469,50.2,8.9,35.1,150.3,37.4,3.17,4.11,0.607,3,97,High
23.1784,69.2773,West,Pre-Monsoon,241,1.98,0.564,0.508,7.4,11.4,29.8,51.5,34.4,3.0,12.96,0.283,0,2068,Low
23.1462,74.504,West,Monsoon,28,2.84,0.626,0.99,17.9,102.3,259.1,622.2,74.8,3.58,11.24,0.528,1,345,High
27.8181,76.7748,North,Winter,156,7.22,0.547,0.243,8.1,8.3,35.9,86.3,39.1,1.51,8.97,0.451,0,524,Low
26.82,78.4419,North,Monsoon,202,3.7,0.771,0.99,24.5,84.8,312.4,391.7,54.2,4.01,3.78,0.692,0,353,High
20.4081,71.4627,West,Monsoon,253,5.7,0.486,0.581,11.8,29.3,72.8,172.2,55.6,3.07,6.27,0.702,0,419,Moderate
22.699,86.2665,East,Post-Monsoon,5,0.54,0.34,0.571,13.1,14.3,59.5,138.4,47.4,3.28,1.84,0.541,5,601,Severe
9.1883,75.3933,South,Post-Monsoon,428,3.69,0.641,0.639,5.6,32.3,96.3,207.4,55.4,3.39,5.47,0.477,3,752,High
20.0773,74.2704,West,Pre-Monsoon,505,10.17,0.566,0.369,5.9,14.6,40.4,78.6,32.2,2.52,6.29,0.81,3,595,Low
23.6703,80.2586,Central,Winter,130,7.17,0.726,0.22,18.5,4.6,13.7,38.7,17.9,2.4,7.91,0.439,2,1000,Moderate
10.0708,79.0857,South,Winter,245,6.05,0.46,0.209,25.3,10.9,21.7,37.5,12.7,1.59,13.8,0.438,0,169,Low
21.4907,85.7842,East,Pre-Monsoon,117,1.52,0.704,0.729,3.0,37.9,114.2,228.4,47.2,2.9,4.03,0.396,5,367,Severe
22.3283,83.6849,Central,Pre-Monsoon,723,1.53,0.605,0.433,13.9,17.1,48.2,79.3,23.1,2.91,10.85,0.469,4,736,Low
24.9944,77.1286,Central,Post-Monsoon,507,2.11,0.501,0.467,17.5,4.0,67.7,126.0,41.9,3.89,1.69,0.633,4,576,High
19.2437,74.1481,West,Post-Monsoon,679,7.57,0.278,0.412,29.6,24.6,84.1,128.4,46.5,2.7,9.9,0.564,1,967,Low
23.4049,88.9608,East,Monsoon,33,15.38,0.419,0.422,19.2,2.6,74.9,157.8,44.3,2.41,13.27,0.664,2,1551,Moderate
14.3678,76.5974,South,Monsoon,744,1.89,0.552,0.71,19.2,24.7,78.9,185.3,37.5,1.62,6.13,0.482,1,1540,Low
31.008,78.7085,North,Post-Monsoon,47,5.31,0.556,0.725,27.8,30.4,100.0,254.7,44.5,3.38,5.54,0.387,1,526,Moderate
22.3957,87.8839,East,Monsoon,58,7.93,0.73,0.288,46.4,40.3,75.0,137.4,48.9,2.4,12.39,0.361,4,358,Moderate
27.6958,75.3926,North,Pre-Monsoon,202,4.0,0.732,0.372,21.3,10.7,27.1,57.7,28.0,2.56,10.79,0.249,1,55,Low
21.9092,82.4615,Central,Pre-Monsoon,376,6.89,0.762,0.249,12.0,12.2,27.1,47.6,21.3,2.17,14.47,0.421,3,32,Low
14.4151,74.5729,South,Monsoon,328,5.82,0.495,0.743,14.1,25.5,73.8,259.6,51.4,3.15,4.77,0.387,1,1061,High
9.362,79.84,South,Winter,444,3.37,0.64,0.167,7.7,2.9,13.0,21.9,14.5,1.18,29.26,0.685,2,54,Low
23.4608,83.164,Central,Monsoon,291,5.61,0.471,0.79,13.0,107.8,224.8,391.6,66.5,3.81,4.91,0.745,0,615,High
19.3706,73.3389,West,Monsoon,7,0.68,0.559,0.804,22.7,53.5,154.7,268.2,57.2,4.4,8.57,0.545,1,76,High
11.0329,75.5208,South,Winter,605,4.52,0.238,0.415,31.9,6.7,24.5,49.3,9.0,3.43,11.32,0.368,1,271,Low
30.8135,74.6339,North,Monsoon,165,2.83,0.36,0.745,24.4,9.6,87.4,200.3,32.8,1.85,4.83,0.671,2,979,Moderate
31.8407,75.1126,North,Monsoon,317,2.89,0.786,0.99,28.7,110.4,370.1,489.7,67.2,3.4,5.41,0.553,1,264,High
9.1185,78.7789,South,Pre-Monsoon,483,0.97,0.664,0.309,7.1,13.7,30.7,56.2,30.3,1.73,13.42,0.726,0,595,Low
21.6974,73.4181,West,Post-Monsoon,478,2.7,0.384,0.267,14.9,1.9,15.6,70.8,41.5,1.71,12.38,0.649,0,49,Low
11.7847,74.0768,South,Post-Monsoon,885,1.83,0.311,0.469,19.5,24.1,56.1,119.4,44.3,2.8,1.14,0.571,2,473,Moderate
25.9712,79.021,Central,Post-Monsoon,253,1.56,0.64,0.48,12.0,27.4,71.6,93.7,42.0,3.1,2.5,0.737,1,6639,High
10.9143,75.539,South,Monsoon,24,7.25,0.527,0.99,19.2,85.9,252.2,417.7,56.5,4.4,4.38,0.299,2,653,Severe
15.9368,76.0227,South,Monsoon,440,13.38,0.493,0.675,34.0,45.1,84.0,231.4,38.7,3.1,7.83,0.723,2,254,Low
11.1097,79.1566,South,Pre-Monsoon,1061,3.02,0.721,0.465,8.5,42.4,79.5,142.1,38.5,1.96,2.16,0.644,2,303,Low
21.0589,87.9112,East,Winter,170,1.6,0.288,0.167,22.3,11.2,32.8,49.2,25.6,1.89,1.79,0.122,3,46,Moderate
27.9918,79.9023,North,Pre-Monsoon,342,4.34,0.383,0.599,13.8,39.2,108.7,200.0,26.8,2.84,5.61,0.156,3,1728,High
23.7716,73.6452,West,Post-Monsoon,802,3.11,0.583,0.303,22.3,28.9,78.2,138.6,46.2,2.85,1.75,0.526,2,1974,High
23.2976,87.1556,East,Post-Monsoon,154,6.8,0.573,0.384,8.4,15.0,37.3,81.2,36.5,2.36,3.84,0.595,5,342,Moderate
21.6358,74.2332,West,Pre-Monsoon,769,0.99,0.713,0.447,4.8,24.9,52.5,81.4,29.9,0.82,2.94,0.525,0,233,Low
25.3738,77.2944,Central,Monsoon,218,8.32,0.72,0.99,4.6,55.9,132.2,505.3,74.9,3.17,15.64,0.778,0,176,Moderate
21.41,87.5987,East,Pre-Monsoon,185,3.9,0.704,0.358,11.6,39.3,55.7,102.1,13.2,2.59,3.95,0.182,2,141,Moderate
31.8214,75.8726,North,Monsoon,95,10.26,0.544,0.448,13.7,28.4,70.9,189.0,44.0,2.45,9.27,0.633,3,127,Moderate
23.2921,86.2885,East,Winter,80,15.38,0.736,0.396,3.5,10.5,40.6,57.8,31.9,2.35,1.18,0.876,4,862,Low
24.1477,86.8941,East,Monsoon,201,3.77,0.678,0.99,12.5,118.1,359.0,904.1,88.5,4.73,2.9,0.883,3,164,Severe
8.4002,78.4877,South,Winter,689,5.67,0.591,0.45,8.5,17.6,39.5,64.5,21.8,3.53,2.22,0.637,1,492,Moderate
12.1639,75.8481,South,Pre-Monsoon,361,1.92,0.589,0.387,32.9,18.0,62.5,146.4,32.5,1.98,10.53,0.86,2,2743,Moderate
25.6479,77.9705,Central,Monsoon,670,2.51,0.309,0.99,48.9,75.4,217.7,541.8,70.8,4.02,6.97,0.408,2,623,Severe
15.2575,78.7249,South,Winter,660,5.34,0.531,0.513,70.2,17.3,38.8,84.7,30.4,2.1,4.99,0.436,1,176,Low
20.4739,69.9213,West,Winter,5,0.1,0.306,0.286,17.2,7.3,20.7,41.3,29.6,2.25,1.67,0.495,3,482,High
21.4894,81.3023,Central,Monsoon,463,2.91,0.796,0.637,33.3,56.4,114.4,311.5,53.7,2.29,1.89,0.564,3,1006,High
27.1472,76.5757,North,Post-Monsoon,551,3.33,0.557,0.726,10.1,72.8,121.8,270.6,40.4,2.94,8.79,0.154,1,267,Moderate
29.8847,74.4538,North,Winter,286,3.16,0.523,0.213,7.8,5.0,19.7,40.4,9.9,1.58,15.01,0.531,0,106,Low
31.9471,78.736,North,Post-Monsoon,636,4.32,0.671,0.173,9.3,5.8,11.4,42.7,21.0,1.08,6.09,0.758,4,423,Low
10.9559,78.8604,South,Post-Monsoon,406,7.88,0.565,0.503,3.2,29.0,62.4,129.9,39.2,3.98,9.23,0.499,1,87,Low
19.4545,71.5259,West,Pre-Monsoon,853,5.73,0.348,0.232,32.0,12.0,32.8,87.1,21.5,1.73,3.56,0.702,3,370,Low
30.8502,76.6909,North,Pre-Monsoon,371,4.23,0.534,0.43,19.3,4.1,10.5,38.8,19.4,3.06,15.27,0.575,1,878,Low
21.9118,74.8941,West,Post-Monsoon,561,6.68,0.622,0.419,49.3,21.6,40.1,160.3,38.7,2.1,13.02,0.195,0,449,Low
27.3782,74.5244,North,Monsoon,335,5.7,0.507,0.381,14.0,12.0,75.0,107.7,33.6,2.3,6.33,0.713,1,197,Low
14.548,77.0721,South,Monsoon,860,8.43,0.605,0.785,1.5,32.0,111.7,253.3,51.1,4.86,4.06,0.694,0,1420,High
19.2657,72.8352,West,Monsoon,5,5.71,0.164,0.479,2.4,59.0,120.6,198.3,62.1,3.12,1.53,0.599,3,455,Severe
18.5603,69.9586,West,Monsoon,146,1.86,0.417,0.246,9.4,12.0,87.7,125.0,47.1,1.06,10.44,0.274,0,35,Low
25.4754,88.7959,East,Monsoon,111,1.69,0.091,0.81,31.2,55.3,189.1,296.7,58.5,3.84,2.91,0.751,4,649,Severe
11.3339,77.0473,South,Monsoon,666,4.41,0.488,0.698,11.0,6.2,45.3,218.5,62.4,4.29,2.5,0.882,3,1075,Severe
25.9722,88.656,East,Monsoon,84,6.74,0.56,0.724,1.7,43.5,124.6,363.2,66.4,3.4,9.53,0.732,1,640,High
27.544,76.8377,North,Pre-Monsoon,217,2.75,0.767,0.482,3.6,26.4,82.2,188.4,37.6,2.61,5.87,0.525,4,938,Moderate
27.5746,78.2796,North,Winter,449,4.37,0.152,0.663,16.2,33.6,95.7,182.3,31.6,2.33,15.17,0.343,1,150,Low
26.1349,95.8769,Northeast,Post-Monsoon,632,3.91,0.848,0.603,5.8,33.9,69.1,181.0,44.0,3.21,8.47,0.605,2,355,Moderate
27.7115,93.2354,Northeast,Pre-Monsoon,494,1.97,0.321,0.128,12.4,26.6,67.2,102.7,26.3,0.65,21.09,0.69,0,681,Low
12.5469,77.0571,South,Monsoon,160,11.87,0.764,0.871,10.3,19.6,103.3,419.9,80.6,2.83,4.0,0.467,2,593,High
24.6771,91.3415,East,Monsoon,11,2.15,0.4,0.99,33.8,85.5,237.9,494.0,68.6,4.38,7.38,0.811,3,256,Severe
26.9169,92.6075,Northeast,Post-Monsoon,1355,3.92,0.637,0.99,15.5,95.4,218.7,515.7,72.1,3.6,1.57,0.149,4,283,Severe
23.3107,76.5583,Central,Post-Monsoon,159,5.7,0.582,0.675,30.0,25.7,80.0,201.4,48.7,3.09,3.18,0.654,3,428,Moderate
12.0187,75.0044,South,Post-Monsoon,492,0.91,0.512,0.736,13.7,53.8,127.5,325.7,55.2,2.32,2.16,0.534,3,1330,Severe
18.5612,75.7315,West,Post-Monsoon,632,3.55,0.529,0.596,31.8,12.4,56.1,86.0,42.0,2.3,10.66,0.375,1,678,Low
26.2548,90.8278,East,Pre-Monsoon,5,5.14,0.441,0.235,29.4,3.1,7.9,23.7,17.4,3.95,7.14,0.778,1,770,Moderate
31.658,76.8382,North,Monsoon,327,6.92,0.747,0.61,8.7,34.7,90.0,145.9,28.6,3.49,4.75,0.699,0,398,Low
25.6561,94.2282,Northeast,Pre-Monsoon,273,4.93,0.747,0.124,15.9,11.6,24.8,39.7,26.0,3.9,13.79,0.797,0,97,Low
23.1028,75.9149,West,Monsoon,416,1.43,0.436,0.6,14.0,84.5,146.3,235.1,53.4,2.65,3.67,0.601,2,930,High
23.9045,85.0497,East,Monsoon,5,0.78,0.607,0.99,8.0,133.6,348.0,845.4,74.8,5.83,19.18,0.608,3,820,Severe
24.973,86.6083,East,Post-Monsoon,129,1.98,0.751,0.345,2.9,11.1,32.5,43.7,33.8,3.78,8.83,0.742,0,422,Moderate
14.9933,78.8764,South,Pre-Monsoon,546,6.86,0.515,0.29,22.5,19.7,46.9,88.8,31.0,2.52,10.76,0.405,1,79,Low
27.4725,79.8118,North,Post-Monsoon,500,5.56,0.621,0.63,19.7,38.2,108.5,213.4,46.4,3.68,2.85,0.44,2,466,High
24.8455,83.0848,Central,Monsoon,698,6.11,0.461,0.586,16.7,34.2,84.9,177.2,46.2,3.83,3.45,0.338,1,136,Moderate
21.7801,82.0529,Central,Monsoon,379,2.99,0.587,0.679,29.6,56.6,162.3,268.4,59.1,2.67,10.83,0.918,1,1320,High
12.5444,78.2876,South,Post-Monsoon,560,2.9,0.661,0.509,5.8,41.3,121.2,156.6,28.6,3.0,3.95,0.275,0,624,Moderate
20.2935,72.5887,West,Pre-Monsoon,192,1.78,0.442,0.421,21.0,23.5,63.2,114.2,27.1,3.32,1.08,0.861,2,188,High
11.0326,79.0963,South,Monsoon,516,10.33,0.592,0.765,19.1,60.7,124.7,398.9,71.1,2.31,3.51,0.376,3,418,Moderate
14.136,78.894,South,Monsoon,589,8.5,0.503,0.99,16.9,72.9,217.5,462.1,66.6,4.01,4.56,0.398,1,289,High
8.4027,78.7126,South,Post-Monsoon,546,1.97,0.432,0.513,29.3,44.6,130.5,172.7,35.0,3.63,6.42,0.625,1,1336,Moderate
29.0577,79.23,North,Pre-Monsoon,657,1.69,0.787,0.15,20.0,4.0,11.1,40.1,34.3,1.83,11.0,0.737,1,149,Low
23.642,72.7324,West,Winter,346,2.26,0.613,0.232,14.8,0.6,5.7,16.9,20.0,1.46,9.82,0.802,1,157,Low
28.0993,77.0888,North,Winter,167,3.77,0.485,0.431,17.0,12.1,38.6,102.3,25.1,3.21,0.87,0.561,2,612,High
20.9805,71.0442,West,Winter,461,4.68,0.234,0.313,28.5,8.5,24.4,40.1,26.0,3.29,2.65,0.479,2,109,Moderate
25.3925,91.2139,East,Monsoon,28,7.62,0.787,0.693,11.5,20.9,76.7,231.8,52.1,3.84,6.76,0.389,2,46,Moderate
28.1676,79.643,North,Post-Monsoon,449,2.68,0.616,0.522,36.6,36.0,96.3,189.2,39.4,2.07,5.57,0.677,4,245,Moderate
28.4493,78.8683,North,Pre-Monsoon,443,2.88,0.616,0.194,14.5,3.6,24.3,61.2,25.9,1.88,14.04,0.706,0,1652,Low
10.1802,78.6823,South,Winter,204,2.36,0.396,0.36,7.7,10.0,18.2,30.6,23.1,3.29,18.63,0.415,1,377,Low
28.0703,76.2096,North,Monsoon,416,1.38,0.609,0.684,27.8,71.7,176.2,293.8,74.6,3.28,9.92,0.581,1,464,High
24.1407,94.3639,Northeast,Pre-Monsoon,1354,2.72,0.628,0.394,15.3,39.8,74.1,166.3,27.0,4.18,6.43,0.723,2,744,Moderate
10.2915,79.6667,South,Monsoon,283,1.62,0.622,0.661,24.3,40.9,72.3,163.2,57.2,2.35,9.12,0.875,1,126,Low
25.7739,87.2033,East,Winter,5,3.39,0.851,0.366,14.2,21.8,54.8,91.1,22.2,2.07,14.46,0.41,3,225,Moderate
12.5515,77.6325,South,Winter,344,6.14,0.556,0.482,17.3,7.8,30.0,54.9,26.6,1.76,18.17,0.413,1,251,Low
29.5996,78.6285,North,Monsoon,229,7.76,0.084,0.821,1.5,20.9,154.2,341.8,56.4,4.14,3.55,0.827,2,525,High
27.5666,95.687,Northeast,Monsoon,5,13.45,0.312,0.59,8.5,46.3,81.0,211.4,49.4,2.33,2.67,0.534,3,166,Moderate
22.149,72.6131,West,Post-Monsoon,191,2.44,0.665,0.313,33.2,14.2,29.5,82.8,33.6,1.48,16.14,0.622,0,909,Low
24.8448,82.3556,Central,Winter,189,5.92,0.159,0.217,10.6,0.2,11.2,21.9,29.0,1.02,10.37,0.637,0,329,Low
28.5528,77.0351,North,Post-Monsoon,233,13.49,0.478,0.65,9.9,37.6,100.2,216.5,43.8,2.09,0.77,0.492,3,329,Moderate
22.9617,75.7815,West,Monsoon,299,1.53,0.424,0.626,19.5,56.9,117.7,190.5,51.8,3.35,15.25,0.732,2,933,High
23.2469,70.782,West,Post-Monsoon,545,8.43,0.84,0.408,6.6,12.6,45.6,108.5,44.9,1.83,28.49,0.243,0,445,Low
26.8294,92.761,Northeast,Winter,431,2.52,0.48,0.528,10.5,18.7,41.5,107.2,23.4,3.96,8.99,0.855,1,1779,Moderate
14.6734,78.9676,South,Pre-Monsoon,449,3.83,0.845,0.409,16.6,4.1,14.5,29.2,21.2,2.86,7.48,0.732,0,287,Low
18.9753,71.1323,West,Monsoon,162,5.86,0.225,0.762,10.5,62.1,113.6,288.1,55.9,3.64,7.94,0.638,0,297,Moderate
25.263,88.3439,East,Pre-Monsoon,72,5.42,0.427,0.83,9.3,28.4,82.8,155.3,42.3,2.94,7.38,0.713,4,1342,High
26.3169,89.7249,East,Monsoon,135,6.63,0.437,0.714,1.8,16.7,48.6,160.1,41.9,2.84,6.01,0.507,1,161,Low
19.3,75.2825,West,Post-Monsoon,5,3.05,0.487,0.301,46.6,37.3,63.1,97.2,40.8,3.12,20.16,0.862,0,181,Moderate
18.9006,71.6908,West,Pre-Monsoon,177,1.58,0.516,0.409,17.0,9.5,20.5,55.3,23.2,2.13,11.46,0.4,0,37,Low
28.6461,77.2347,North,Monsoon,197,1.53,0.517,0.877,21.2,39.3,103.4,344.0,58.0,2.37,5.14,0.508,3,220,High
22.7089,81.9226,Central,Pre-Monsoon,854,5.8,0.794,0.21,40.8,3.3,10.9,26.4,16.9,2.13,16.56,0.375,1,68,Low
25.4361,77.0296,Central,Winter,148,5.81,0.474,0.239,8.6,17.7,32.2,43.9,33.5,3.34,18.34,0.259,0,1794,Low
29.036,77.1237,North,Winter,193,1.4,0.35,0.283,28.5,15.9,51.9,134.9,29.9,1.45,1.89,0.783,1,381,Low
12.4305,78.808,South,Monsoon,345,13.32,0.717,0.99,19.1,147.9,442.9,564.8,69.1,5.92,9.6,0.834,2,2748,High
28.1371,78.8221,North,Post-Monsoon,144,7.56,0.592,0.292,31.7,48.3,85.1,126.2,34.3,2.77,27.4,0.78,0,700,Low
11.6666,75.6214,South,Pre-Monsoon,751,6.69,0.511,0.39,18.2,15.8,51.6,111.7,30.0,2.86,2.79,0.343,2,85,Low
23.31,88.8035,East,Winter,147,2.68,0.769,0.337,24.8,14.5,32.0,60.4,27.7,2.35,3.32,0.694,3,127,Moderate
8.5225,77.3944,South,Post-Monsoon,132,5.81,0.874,0.443,12.5,2.3,45.6,105.8,31.4,3.62,0.41,0.586,2,140,High
15.7604,78.3781,South,Pre-Monsoon,5,3.87,0.497,0.166,6.1,0.9,3.4,12.3,19.9,1.54,0.47,0.515,5,1234,Moderate
23.088,81.8471,Central,Winter,210,5.82,0.719,0.246,20.0,7.9,28.7,63.3,26.6,1.95,16.22,0.323,0,1696,Low
30.5274,79.5114,North,Pre-Monsoon,298,3.29,0.453,0.405,12.5,10.4,27.6,60.7,31.3,1.48,16.38,0.228,0,1776,Low
24.539,93.5484,Northeast,Post-Monsoon,5,1.12,0.581,0.728,32.9,16.6,72.9,183.8,46.2,3.91,7.77,0.704,1,80,High
26.6744,85.0341,East,Pre-Monsoon,107,9.61,0.454,0.427,2.7,16.2,46.1,104.0,35.6,2.85,5.88,0.943,2,218,Moderate
29.0209,75.9171,North,Post-Monsoon,161,2.74,0.808,0.272,36.9,11.4,41.3,89.2,46.6,1.92,11.38,0.703,0,4612,Moderate
10.3643,74.6208,South,Pre-Monsoon,1010,5.76,0.701,0.372,42.3,28.2,44.6,107.7,27.0,3.52,7.05,0.655,2,169,Low
20.6733,75.8077,West,Pre-Monsoon,117,3.04,0.497,0.498,32.8,11.8,44.3,91.8,26.3,3.3,5.01,0.785,0,359,Moderate
22.2513,80.7935,Central,Monsoon,400,1.95,0.54,0.549,10.8,29.1,90.5,160.4,48.8,3.65,9.21,0.581,1,373,Moderate
25.5843,76.4077,Central,Winter,474,13.25,0.61,0.455,30.9,17.8,37.3,61.1,12.7,2.18,4.57,0.21,3,51,Low
22.802,86.4459,East,Monsoon,105,5.13,0.596,0.525,4.3,19.8,59.3,163.8,48.8,2.95,3.04,0.65,1,481,Moderate
27.7406,94.1216,Northeast,Post-Monsoon,28,5.3,0.285,0.851,10.3,134.3,190.8,353.0,46.5,4.3,31.43,0.615,1,806,Moderate
20.4913,85.7031,East,Monsoon,62,3.11,0.598,0.93,17.2,79.1,230.2,366.2,62.4,5.83,12.6,0.237,1,1042,Severe
18.9302,71.4471,West,Winter,185,3.11,0.663,0.328,23.9,6.6,24.4,50.7,13.1,1.92,9.46,0.704,2,68,Low
21.2748,86.1735,East,Monsoon,167,6.44,0.876,0.579,11.2,13.0,47.3,182.3,48.3,2.97,1.92,0.441,1,216,High
25.9545,94.5439,Northeast,Monsoon,790,3.81,0.828,0.473,2.1,76.8,143.8,253.1,42.0,2.83,12.47,0.679,1,316,Low
29.0553,77.8515,North,Winter,411,10.46,0.958,0.387,2.5,6.5,16.3,25.2,26.7,1.33,4.58,0.9,0,851,Low
27.2591,77.7705,North,Monsoon,332,2.1,0.174,0.705,13.5,70.6,176.1,247.5,45.8,3.14,8.08,0.323,3,411,High
21.9052,69.0324,West,Monsoon,5,4.26,0.264,0.497,4.2,38.0,72.0,165.5,41.0,3.52,20.49,0.756,2,403,Moderate
24.1182,91.2003,Northeast,Winter,720,12.68,0.732,0.221,8.8,4.1,9.8,14.0,14.9,2.1,5.83,0.373,0,232,Low
24.564,78.2771,Central,Monsoon,227,5.59,0.734,0.72,33.8,40.1,123.1,293.2,55.0,1.72,3.09,0.743,2,679,Moderate
23.3149,79.3848,Central,Monsoon,5,2.68,0.288,0.542,8.7,26.4,88.1,204.0,51.3,3.06,6.4,0.667,3,385,High
25.8051,80.3433,Central,Monsoon,407,3.33,0.608,0.563,25.7,14.9,87.4,217.4,45.7,3.17,27.6,0.545,0,428,Moderate
24.0119,77.4442,Central,Winter,159,16.65,0.857,0.343,22.2,19.8,44.5,90.5,31.5,2.66,11.82,0.682,2,641,Low
20.177,75.6761,West,Winter,387,11.32,0.72,0.188,5.1,1.2,9.3,23.8,16.7,2.26,24.4,0.167,0,167,Low
23.9079,86.0316,East,Post-Monsoon,94,1.87,0.675,0.953,2.4,67.9,194.2,404.2,56.7,3.78,2.25,0.624,2,1131,Severe
23.9352,80.2178,Central,Post-Monsoon,317,2.11,0.879,0.58,23.0,25.3,42.9,103.3,33.8,3.14,2.21,0.559,3,991,High
9.0373,77.1835,South,Monsoon,175,4.34,0.448,0.99,5.3,88.5,185.6,420.6,71.7,3.76,1.09,0.477,2,114,Severe
23.7844,70.6589,West,Pre-Monsoon,538,10.45,0.678,0.481,9.6,26.5,53.4,102.7,43.8,2.53,0.93,0.532,3,324,Moderate
26.185,79.325,North,Pre-Monsoon,356,4.51,0.277,0.287,5.0,6.8,24.9,42.5,20.3,2.34,5.65,0.322,2,488,Low
